fecha,producto,categoria,unidades_vendidas,clima,evento_especial,promocion,precio_unitario,total_ventas,mes,estacion
2020-01-01,Producto A,Categoria 3,156,Nevado,Lunes de Pascua,Descuento,12,1872,1,Invierno
2020-01-01,Producto B,Categoria 1,571,Soleado,Navidad,Descuento,40,22840,1,Invierno
2020-01-01,Producto C,Categoria 3,393,Nublado,Lunes de Pascua,Sin promoción,48,18864,1,Invierno
2020-01-01,Producto D,Categoria 2,969,Nublado,Navidad,Sin promoción,37,35853,1,Invierno
2020-01-01,Producto E,Categoria 2,394,Nublado,Lunes de Pascua,Sin promoción,31,12214,1,Invierno
2020-01-02,Producto A,Categoria 3,806,Lluvia,Navidad,Sin promoción,48,38688,1,Invierno
2020-01-02,Producto B,Categoria 3,690,Nevado,Black Friday,Descuento,25,17250,1,Invierno
2020-01-02,Producto C,Categoria 1,430,Lluvia,Navidad,Sin promoción,13,5590,1,Invierno
2020-01-02,Producto D,Categoria 2,620,Soleado,Navidad,Sin promoción,39,24180,1,Invierno
2020-01-02,Producto E,Categoria 2,523,Soleado,Semana Santa,Sin promoción,10,5230,1,Invierno
2020-01-03,Producto A,Categoria 2,357,Nublado,Semana Santa,Sin promoción,30,10710,1,Invierno
2020-01-03,Producto B,Categoria 2,547,Nublado,Semana Santa,Sin promoción,19,10393,1,Invierno
2020-01-03,Producto C,Categoria 2,482,Lluvia,Semana Santa,Descuento,20,9640,1,Invierno
2020-01-03,Producto D,Categoria 1,459,Nublado,Lunes de Pascua,Sin promoción,29,13311,1,Invierno
2020-01-03,Producto E,Categoria 1,360,Soleado,Lunes de Pascua,Descuento,29,10440,1,Invierno
2020-01-04,Producto A,Categoria 3,480,Soleado,Black Friday,Sin promoción,15,7200,1,Invierno
2020-01-04,Producto B,Categoria 3,352,Soleado,Ninguno,Descuento,46,16192,1,Invierno
2020-01-04,Producto C,Categoria 3,584,Nublado,Black Friday,Sin promoción,12,7008,1,Invierno
2020-01-04,Producto D,Categoria 2,270,Soleado,Lunes de Pascua,Descuento,26,7020,1,Invierno
2020-01-04,Producto E,Categoria 3,546,Lluvia,Black Friday,Descuento,5,2730,1,Invierno
2020-01-05,Producto A,Categoria 1,256,Nublado,Ninguno,Descuento,19,4864,1,Invierno
2020-01-05,Producto B,Categoria 2,390,Nublado,Semana Santa,Descuento,36,14040,1,Invierno
2020-01-05,Producto C,Categoria 3,351,Soleado,Semana Santa,Descuento,41,14391,1,Invierno
2020-01-05,Producto D,Categoria 3,268,Lluvia,Lunes de Pascua,Descuento,40,10720,1,Invierno
2020-01-05,Producto E,Categoria 1,135,Nevado,Ninguno,Descuento,32,4320,1,Invierno
2020-01-06,Producto A,Categoria 2,490,Nublado,Lunes de Pascua,Sin promoción,10,4900,1,Invierno
2020-01-06,Producto B,Categoria 2,397,Nublado,Ninguno,Sin promoción,29,11513,1,Invierno
2020-01-06,Producto C,Categoria 3,908,Nublado,Black Friday,Descuento,17,15436,1,Invierno
2020-01-06,Producto D,Categoria 1,423,Lluvia,Ninguno,Descuento,37,15651,1,Invierno
2020-01-06,Producto E,Categoria 3,495,Nublado,Semana Santa,Sin promoción,36,17820,1,Invierno
2020-01-07,Producto A,Categoria 1,742,Nevado,Black Friday,Sin promoción,16,11872,1,Invierno
2020-01-07,Producto B,Categoria 2,517,Lluvia,Navidad,Descuento,6,3102,1,Invierno
2020-01-07,Producto C,Categoria 2,274,Nevado,Lunes de Pascua,Sin promoción,5,1370,1,Invierno
2020-01-07,Producto D,Categoria 3,638,Nublado,Navidad,Descuento,36,22968,1,Invierno
2020-01-07,Producto E,Categoria 2,407,Nevado,Semana Santa,Descuento,21,8547,1,Invierno
2020-01-08,Producto A,Categoria 3,147,Nublado,Lunes de Pascua,Sin promoción,10,1470,1,Invierno
2020-01-08,Producto B,Categoria 2,709,Lluvia,Black Friday,Descuento,24,17016,1,Invierno
2020-01-08,Producto C,Categoria 3,196,Nevado,Ninguno,Sin promoción,24,4704,1,Invierno
2020-01-08,Producto D,Categoria 3,800,Nevado,Black Friday,Descuento,43,34400,1,Invierno
2020-01-08,Producto E,Categoria 2,840,Nevado,Black Friday,Descuento,35,29400,1,Invierno
2020-01-09,Producto A,Categoria 2,301,Nublado,Ninguno,Descuento,20,6020,1,Invierno
2020-01-09,Producto B,Categoria 2,310,Nevado,Black Friday,Sin promoción,5,1550,1,Invierno
2020-01-09,Producto C,Categoria 2,209,Nevado,Lunes de Pascua,Descuento,13,2717,1,Invierno
